dataset_id,dataset_name,caveat_id,caveat,implication_for_comparison
DS-T1-001,UCSD Ped1,DS-T1-001-C1,"Early canonical VAD benchmark. Limited scene diversity and a narrow anomaly definition. Many recent methods report Ped-family AUC > 97%, reducing remaining discriminative headroom.","Do not pool this corpus with a different task, metric, split, or modality without a qualified comparison."
DS-T1-002,UCSD Ped2,DS-T1-002-C1,Most frequently reported single-scene normal-only benchmark in the comparison tables. Residual scores are compressed into a high AUC band (approximately 94–99% in later literature).,"Do not pool this corpus with a different task, metric, split, or modality without a qualified comparison."
DS-T1-003,UMN,DS-T1-003-C1,Pre-2010 seminal corpus retained under IC5 as technical context. Not treated as a contemporary leaderboard.,"Do not pool this corpus with a different task, metric, split, or modality without a qualified comparison."
DS-T1-004,CUHK Avenue,DS-T1-004-C1,Perspective-dependent object size and variable density make it more challenging than UCSD. Widely used for unsupervised and self-supervised evaluation.,"Do not pool this corpus with a different task, metric, split, or modality without a qualified comparison."
DS-T1-005,ShanghaiTech Campus,DS-T1-005-C1,Event count (130) and category count (11) must not be conflated. Multi-scene design is the principal reason it remains informative after Ped2 saturation.,"Do not pool this corpus with a different task, metric, split, or modality without a qualified comparison."
DS-T1-006,UCF-Crime,DS-T1-006-C1,"Standard split: 800 normal + 810 anomalous training videos and 290 test videos (1,900 total). Video-level tags and loose temporal boundaries introduce label noise. Contains arson/explosion labels but does not evaluate camera/feed failure or early-warning fire protocols.","Do not pool this corpus with a different task, metric, split, or modality without a qualified comparison."
DS-T1-007,Street Scene,DS-T1-007-C1,Higher spatial resolution and bounding-box annotation relative to Ped2/Avenue. Single-scene design still limits cross-camera claims.,"Do not pool this corpus with a different task, metric, split, or modality without a qualified comparison."
DS-T1-008,XD-Violence,DS-T1-008-C1,"4,754 videos in total. Audio is part of the official corpus; RGB-only versus RGB+audio results are not interchangeable. Do not compare AP on XD-Violence with AUC on UCF-Crime.","Do not pool this corpus with a different task, metric, split, or modality without a qualified comparison."
DS-T1-009,ADOC,DS-T1-009-C1,"The most directly multi-tier public corpus in the review (scene anomalies plus camera tampering). Small, study-specific protocol; does not cover fire/smoke.","Do not pool this corpus with a different task, metric, split, or modality without a qualified comparison."
DS-T1-010,UBnormal,DS-T1-010-C1,Pixel-level masks that are impractical to obtain on real video. Synthetic composition must be stated when comparing with real-camera corpora.,"Do not pool this corpus with a different task, metric, split, or modality without a qualified comparison."
DS-T1-011,NWPU Campus,DS-T1-011-C1,Largest scene count among the tabulated VAD corpora (43 scenes). Protocol details beyond the review table remain NR pending source-page confirmation.,"Do not pool this corpus with a different task, metric, split, or modality without a qualified comparison."
DS-T1-012,CHAD (Charlotte Anomaly Dataset),DS-T1-012-C1,Train/test counts are not stated in the review table and are recorded as NR rather than inferred.,"Do not pool this corpus with a different task, metric, split, or modality without a qualified comparison."
DS-T2-001,Foggia surveillance fire,DS-T2-001-C1,62 videos. Early real-world surveillance fire corpus. Accuracy is dataset-specific and not comparable with detection mAP or segmentation mIoU.,"Do not pool this corpus with a different task, metric, split, or modality without a qualified comparison."
DS-T2-002,BoWFire,DS-T2-002-C1,226 images. Superpixel-level fire annotation. Also appears as a FiSmo sub-collection and must not be double-counted as a separate aggregate.,"Do not pool this corpus with a different task, metric, split, or modality without a qualified comparison."
DS-T2-003,FiSmo,DS-T2-003-C1,"Compilation of six sub-collections. Documented subsets: Flickr-Fire (2,000 images), BoWFire (226 images), SmokeBlock (1,666 images), plus annotated video subsets. Do not quote a single aggregate size.","Do not pool this corpus with a different task, metric, split, or modality without a qualified comparison."
DS-T2-004,FireNet,DS-T2-004-C1,"Approximately 2,500 images, described as evenly divided. Preprint-associated corpus; the review records its accuracy for completeness and does not use it for state-of-the-art claims.","Do not pool this corpus with a different task, metric, split, or modality without a qualified comparison."
DS-T2-005,FLAME,DS-T2-005-C1,"2,003 images and 39 video sequences. Aerial masks are not comparable with ground-camera detection mAP.","Do not pool this corpus with a different task, metric, split, or modality without a qualified comparison."
DS-T2-006,D-Fire,DS-T2-006-C1,"21,527 images. Addresses the single-environment limitation of earlier fire corpora. IoU threshold and official split remain NR in the review table.","Do not pool this corpus with a different task, metric, split, or modality without a qualified comparison."
DS-T2-007,FASDD,DS-T2-007-C1,"Largest tabulated fire/smoke set (>120,000 images). Heterogeneity is the design goal; protocol-level comparability still requires matched splits and IoU.","Do not pool this corpus with a different task, metric, split, or modality without a qualified comparison."
DS-T3-001,Ribnick et al. tampering corpus,DS-T3-001-C1,40+ videos. Pre-2010 seminal context. Partial public access. Small study-specific collection.,"Do not pool this corpus with a different task, metric, split, or modality without a qualified comparison."
DS-T3-002,UHCTD,DS-T3-002-C1,Principal public camera-tampering benchmark in the review (>288 hours). Two-camera limitation and limited gradual-fault coverage are the main external-validity constraints.,"Do not pool this corpus with a different task, metric, split, or modality without a qualified comparison."
