result_id,source_table,method,citation_key,year,benchmark,metric,value,task_formulation,supervision_regime,input_modality,train_test_split,pretraining_source,metric_implementation,test_time_postprocessing,representation,scoring_mechanism,verification_status
R01,tab:consolidated_performance,Conv-AE,hasan2016learning,2016,UCSD Ped2,frame-level micro-AUC (%),85.0,normality-based VAD,normal-only,RGB,NR,NR,as reported by cited study,NR,ConvAE,Reconstruction,transcribed_from_manuscript
R02,tab:consolidated_performance,Conv-AE,hasan2016learning,2016,CUHK Avenue,frame-level micro-AUC (%),80.0,normality-based VAD,normal-only,RGB,NR,NR,as reported by cited study,NR,ConvAE,Reconstruction,transcribed_from_manuscript
R03,tab:consolidated_performance,Conv-AE,hasan2016learning,2016,ShanghaiTech,frame-level AUC (%),60.9,normality-based VAD,normal-only,RGB,NR,NR,as reported by cited study,NR,ConvAE,Reconstruction,transcribed_from_manuscript
R04,tab:consolidated_performance,Frame-Pred,liu2018future,2018,UCSD Ped2,frame-level micro-AUC (%),95.4,normality-based VAD,normal-only,RGB,NR,NR,as reported by cited study,NR,U-Net + GAN,Prediction,transcribed_from_manuscript
R05,tab:consolidated_performance,Frame-Pred,liu2018future,2018,CUHK Avenue,frame-level micro-AUC (%),85.1,normality-based VAD,normal-only,RGB,NR,NR,as reported by cited study,NR,U-Net + GAN,Prediction,transcribed_from_manuscript
R06,tab:consolidated_performance,Frame-Pred,liu2018future,2018,ShanghaiTech,frame-level AUC (%),72.8,normality-based VAD,normal-only,RGB,NR,NR,as reported by cited study,NR,U-Net + GAN,Prediction,transcribed_from_manuscript
R07,tab:consolidated_performance,MemAE,gong2019memorizing,2019,UCSD Ped2,frame-level micro-AUC (%),94.1,normality-based VAD,normal-only,RGB,NR,NR,as reported by cited study,NR,AE + memory,Reconstruction,transcribed_from_manuscript
R08,tab:consolidated_performance,MemAE,gong2019memorizing,2019,CUHK Avenue,frame-level micro-AUC (%),83.3,normality-based VAD,normal-only,RGB,NR,NR,as reported by cited study,NR,AE + memory,Reconstruction,transcribed_from_manuscript
R09,tab:consolidated_performance,MemAE,gong2019memorizing,2019,ShanghaiTech,frame-level AUC (%),71.2,normality-based VAD,normal-only,RGB,NR,NR,as reported by cited study,NR,AE + memory,Reconstruction,transcribed_from_manuscript
R10,tab:consolidated_performance,MNAD,park2020learning,2020,UCSD Ped2,frame-level micro-AUC (%),97.0,normality-based VAD,normal-only,RGB,NR,NR,as reported by cited study,NR,AE + memory,Recon. + prediction,transcribed_from_manuscript
R11,tab:consolidated_performance,MNAD,park2020learning,2020,CUHK Avenue,frame-level micro-AUC (%),88.5,normality-based VAD,normal-only,RGB,NR,NR,as reported by cited study,NR,AE + memory,Recon. + prediction,transcribed_from_manuscript
R12,tab:consolidated_performance,MNAD,park2020learning,2020,ShanghaiTech,frame-level AUC (%),70.5,normality-based VAD,normal-only,RGB,NR,NR,as reported by cited study,NR,AE + memory,Recon. + prediction,transcribed_from_manuscript
R13,tab:consolidated_performance,Georgescu et al.,georgescu2021anomaly,2021,UCSD Ped2,frame-level micro-AUC (%),97.8,normality-based VAD,self-supervised,RGB,NR,NR,as reported by cited study,NR,Multi-task CNN,Pretext discrepancy,transcribed_from_manuscript
R14,tab:consolidated_performance,Georgescu et al.,georgescu2021anomaly,2021,CUHK Avenue,frame-level micro-AUC (%),89.3,normality-based VAD,self-supervised,RGB,NR,NR,as reported by cited study,NR,Multi-task CNN,Pretext discrepancy,transcribed_from_manuscript
R15,tab:consolidated_performance,Georgescu et al.,georgescu2021anomaly,2021,ShanghaiTech,frame-level AUC (%),82.7,normality-based VAD,self-supervised,RGB,NR,NR,as reported by cited study,NR,Multi-task CNN,Pretext discrepancy,transcribed_from_manuscript
R16,tab:consolidated_performance,SSMTL++v1,barbalau2023ssmtl,2023,CUHK Avenue,frame-level micro-AUC (%),93.7,normality-based VAD,self-supervised,RGB,NR,NR,as reported by cited study,NR,Multi-task + CvT/pretexts,Pretext discrepancy,transcribed_from_manuscript
R17,tab:consolidated_performance,SSMTL++v1,barbalau2023ssmtl,2023,ShanghaiTech,frame-level AUC (%),82.9,normality-based VAD,self-supervised,RGB,NR,NR,as reported by cited study,NR,Multi-task + CvT/pretexts,Pretext discrepancy,transcribed_from_manuscript
R18,tab:consolidated_performance,SSMTL++v2,barbalau2023ssmtl,2023,CUHK Avenue,frame-level micro-AUC (%),91.6,normality-based VAD,self-supervised,RGB,NR,NR,as reported by cited study,NR,Alternative multi-task configuration,Pretext discrepancy,transcribed_from_manuscript
R19,tab:consolidated_performance,SSMTL++v2,barbalau2023ssmtl,2023,ShanghaiTech,frame-level AUC (%),83.8,normality-based VAD,self-supervised,RGB,NR,NR,as reported by cited study,NR,Alternative multi-task configuration,Pretext discrepancy,transcribed_from_manuscript
R20,tab:consolidated_performance,STG-NF,hirschorn2023normalizing,2023,ShanghaiTech,frame-level AUC (%),85.9,normality-based VAD,normal-only pose,RGB,NR,NR,as reported by cited study,NR,Pose + normalizing flow,Density,transcribed_from_manuscript
R21,tab:consolidated_performance,FPDM,yan2023feature,2023,CUHK Avenue,frame-level micro-AUC (%),90.1,normality-based VAD,normal-only,RGB,NR,NR,as reported by cited study,NR,Feature diffusion,Prediction/reconstruction,transcribed_from_manuscript
R22,tab:consolidated_performance,FPDM,yan2023feature,2023,ShanghaiTech,frame-level AUC (%),78.6,normality-based VAD,normal-only,RGB,NR,NR,as reported by cited study,NR,Feature diffusion,Prediction/reconstruction,transcribed_from_manuscript
R23,tab:consolidated_performance,HSC,sun2023hierarchical,2023,UCSD Ped2,frame-level micro-AUC (%),98.1,normality-based VAD,normal-only semantic contrast,RGB,NR,NR,as reported by cited study,NR,Semantic parsing + AE/memory,Reconstruction + contrastive,transcribed_from_manuscript
R24,tab:consolidated_performance,HSC,sun2023hierarchical,2023,CUHK Avenue,frame-level micro-AUC (%),93.7,normality-based VAD,normal-only semantic contrast,RGB,NR,NR,as reported by cited study,NR,Semantic parsing + AE/memory,Reconstruction + contrastive,transcribed_from_manuscript
R25,tab:consolidated_performance,HSC,sun2023hierarchical,2023,ShanghaiTech,frame-level AUC (%),83.4,normality-based VAD,normal-only semantic contrast,RGB,NR,NR,as reported by cited study,NR,Semantic parsing + AE/memory,Reconstruction + contrastive,transcribed_from_manuscript
R26,tab:weak_foundation_performance,MIL-Rank,sultani2018real,2018,UCF-Crime,frame-level AUC (%),75.4,weakly supervised VAD,video labels,RGB,NR,NR,as reported by cited study,NR,C3D,MIL ranking,transcribed_from_manuscript
R27,tab:weak_foundation_performance,RTFM,tian2021weakly,2021,ShanghaiTech,frame-level AUC (%),97.2,weakly supervised VAD,video labels,RGB,NR,NR,as reported by cited study,NR,I3D,Feature magnitude,transcribed_from_manuscript
R28,tab:weak_foundation_performance,RTFM,tian2021weakly,2021,UCF-Crime,frame-level AUC (%),84.3,weakly supervised VAD,video labels,RGB,NR,NR,as reported by cited study,NR,I3D,Feature magnitude,transcribed_from_manuscript
R29,tab:weak_foundation_performance,RTFM,tian2021weakly,2021,XD-Violence,average precision (%),77.8,weakly supervised VAD,video labels,RGB,NR,NR,as reported by cited study,NR,I3D,Feature magnitude,transcribed_from_manuscript
R30,tab:weak_foundation_performance,Wu & Liu,wu2021causal,2021,UCF-Crime,frame-level AUC (%),84.9,weakly supervised VAD,video labels,RGB,NR,NR,as reported by cited study,NR,I3D,Causal temporal relation,transcribed_from_manuscript
R31,tab:weak_foundation_performance,Wu & Liu,wu2021causal,2021,XD-Violence,average precision (%),75.9,weakly supervised VAD,video labels,RGB,NR,NR,as reported by cited study,NR,I3D,Causal temporal relation,transcribed_from_manuscript
R32,tab:weak_foundation_performance,MGFN,chen2023mgfn,2023,UCF-Crime,frame-level AUC (%),86.7,weakly supervised VAD,video labels,RGB,NR,NR,as reported by cited study,NR,I3D,Multi-granularity MIL,transcribed_from_manuscript
R33,tab:weak_foundation_performance,MGFN,chen2023mgfn,2023,XD-Violence,average precision (%),80.1,weakly supervised VAD,video labels,RGB,NR,NR,as reported by cited study,NR,I3D,Multi-granularity MIL,transcribed_from_manuscript
R34,tab:weak_foundation_performance,UR-DMU (RGB),zhou2023dmu,2023,UCF-Crime,frame-level AUC (%),87.0,weakly supervised VAD,video labels,RGB,NR,NR,as reported by cited study,NR,I3D,Uncertainty-regulated dual memory,transcribed_from_manuscript
R35,tab:weak_foundation_performance,UR-DMU (RGB),zhou2023dmu,2023,XD-Violence,average precision (%),81.7,weakly supervised VAD,video labels,RGB,NR,NR,as reported by cited study,NR,I3D,Uncertainty-regulated dual memory,transcribed_from_manuscript
R36,tab:weak_foundation_performance,UR-DMU (RGB+audio),zhou2023dmu,2023,XD-Violence,average precision (%),81.8,weakly supervised VAD,video labels,RGB+audio,NR,NR,as reported by cited study,NR,I3D + VGGish,Modality ablation,transcribed_from_manuscript
R37,tab:weak_foundation_performance,SGTTD,wu2022self,2024,ShanghaiTech,frame-level AUC (%),97.3,weakly supervised VAD,video labels,RGB,NR,NR,as reported by cited study,NR,Temporal transformer,Weak temporal discrimination,transcribed_from_manuscript
R38,tab:weak_foundation_performance,SGTTD,wu2022self,2024,UCF-Crime,frame-level AUC (%),85.1,weakly supervised VAD,video labels,RGB,NR,NR,as reported by cited study,NR,Temporal transformer,Weak temporal discrimination,transcribed_from_manuscript
R39,tab:weak_foundation_performance,VadCLIP,wu2024vadclip,2024,UCF-Crime,frame-level AUC (%),88.0,weakly supervised VAD,video labels + CLIP pretraining,RGB,NR,CLIP,as reported by cited study,NR,CLIP ViT-B/16,Vision-language alignment,transcribed_from_manuscript
R40,tab:weak_foundation_performance,VadCLIP,wu2024vadclip,2024,XD-Violence,average precision (%),84.5,weakly supervised VAD,video labels + CLIP pretraining,RGB,NR,CLIP,as reported by cited study,NR,CLIP ViT-B/16,Vision-language alignment,transcribed_from_manuscript
R41,tab:weak_foundation_performance,PEL4VAD,zhang2024pel4vad,2024,ShanghaiTech,frame-level AUC (%),98.1,weakly supervised VAD,video labels + CLIP prompt features,RGB,NR,CLIP,as reported by cited study,NR,I3D + CLIP prompts,Prompt-enhanced context learning,transcribed_from_manuscript
R42,tab:weak_foundation_performance,PEL4VAD,zhang2024pel4vad,2024,UCF-Crime,frame-level AUC (%),86.8,weakly supervised VAD,video labels + CLIP prompt features,RGB,NR,CLIP,as reported by cited study,NR,I3D + CLIP prompts,Prompt-enhanced context learning,transcribed_from_manuscript
R43,tab:weak_foundation_performance,PEL4VAD,zhang2024pel4vad,2024,XD-Violence,average precision (%),85.6,weakly supervised VAD,video labels + CLIP prompt features,RGB,NR,CLIP,as reported by cited study,NR,I3D + CLIP prompts,Prompt-enhanced context learning,transcribed_from_manuscript
