dataset_id,dataset_name,citation_key,year,primary_tier,multi_tier_flag,task_family,composition,public_access,n_train,n_test,split_unit,official_split_named,n_scenes_or_cameras,n_anomaly_categories,n_anomaly_events,annotation_granularity,resolution,modality,imaging_setting,typical_evaluation_metric,supervision_regimes_supported,primary_anomaly_types,source_description_verified,verification_status,notes
DS-T1-001,UCSD Ped1,mahadevan2010anomaly,2010,1,no,behavioral_video_anomaly_detection,real,yes,34,36,video clips,yes,1,3,NR,frame + pixel,158x238,RGB (grayscale pedestrian walkway),fixed camera; single pedestrian walkway,frame-level AUC; pixel-level localization where reported,normal-only / one-class; self-supervised,"Non-pedestrian entities (bicycles, carts) and unusual pedestrian motion",2026-08-31,transcribed_from_manuscript,"Early canonical VAD benchmark. Limited scene diversity and a narrow anomaly definition. Many recent methods report Ped-family AUC > 97%, reducing remaining discriminative headroom."
DS-T1-002,UCSD Ped2,mahadevan2010anomaly,2010,1,no,behavioral_video_anomaly_detection,real,yes,16,12,video clips,yes,1,3,NR,frame + pixel,240x360,RGB (grayscale pedestrian walkway),fixed camera; single pedestrian walkway,frame-level micro-AUC,normal-only / one-class; self-supervised,"Non-pedestrian entities (bicycles, skateboarders)",2026-08-31,transcribed_from_manuscript,Most frequently reported single-scene normal-only benchmark in the comparison tables. Residual scores are compressed into a high AUC band (approximately 94–99% in later literature).
DS-T1-003,UMN,mehran2009abnormal,2009,1,no,behavioral_video_anomaly_detection,real,yes,NR,11,video clips,NR,3,1,NR,frame,320x240,RGB,indoor/outdoor crowd scenes,frame-level AUC (study-specific protocols),normal-only / one-class,Crowd panic and escape,2026-08-31,transcribed_from_manuscript,Pre-2010 seminal corpus retained under IC5 as technical context. Not treated as a contemporary leaderboard.
DS-T1-004,CUHK Avenue,lu2013abnormal,2013,1,no,behavioral_video_anomaly_detection,real,yes,16,21,videos,yes,1,5,47,frame + pixel,360x640,RGB,campus avenue; variable pedestrian density,frame-level AUC,normal-only / one-class; self-supervised,"Running, throwing objects, loitering, walking in unusual directions",2026-08-31,transcribed_from_manuscript,Perspective-dependent object size and variable density make it more challenging than UCSD. Widely used for unsupervised and self-supervised evaluation.
DS-T1-005,ShanghaiTech Campus,luo2017revisit,2017,1,no,behavioral_video_anomaly_detection,real,yes,330,107,videos,yes,13,11,130,frame,various,RGB,university campus; 13 camera locations,frame-level AUC (normal-only and some weakly supervised protocols),normal-only; self-supervised; weakly supervised (selected methods),"Chasing, brawling, cycling in pedestrian zones, and related campus anomalies",2026-08-31,transcribed_from_manuscript,Event count (130) and category count (11) must not be conflated. Multi-scene design is the principal reason it remains informative after Ped2 saturation.
DS-T1-006,UCF-Crime,sultani2018real,2018,1,no,weakly_supervised_video_anomaly_detection,real,yes,1610,290,untrimmed videos,yes,many,13,NR,video-level (training); temporal test labels in the official protocol,various,RGB,untrimmed real-world surveillance; diverse viewpoints,frame-level AUC under weak supervision,video-level weakly supervised MIL,"Abuse, arrest, arson, assault, burglary, explosion, fighting, road accidents, robbery, shooting, shoplifting, stealing, vandalism",2026-08-31,transcribed_from_manuscript,"Standard split: 800 normal + 810 anomalous training videos and 290 test videos (1,900 total). Video-level tags and loose temporal boundaries introduce label noise. Contains arson/explosion labels but does not evaluate camera/feed failure or early-warning fire protocols."
DS-T1-007,Street Scene,ramachandra2020street,2020,1,no,behavioral_video_anomaly_detection,real,yes,46,35,videos,yes,1,17,NR,frame + bounding box,1280x720,RGB,urban street; single scene,frame-level and spatial localization metrics (study-specific),normal-only / one-class,"Jaywalking, loitering, vehicle anomalies",2026-08-31,transcribed_from_manuscript,Higher spatial resolution and bounding-box annotation relative to Ped2/Avenue. Single-scene design still limits cross-camera claims.
DS-T1-008,XD-Violence,wu2020not,2020,1,no,weakly_supervised_multimodal_violence_detection,real,yes,3954,800,untrimmed videos,yes,many,6,NR,video-level,various,RGB + audio,untrimmed video with audio track,"average precision (AP, %)",video-level weakly supervised; multimodal fusion,Six violence categories (enumerated in the source paper; not listed individually in the review table),2026-08-31,transcribed_from_manuscript,"4,754 videos in total. Audio is part of the official corpus; RGB-only versus RGB+audio results are not interchangeable. Do not compare AP on XD-Violence with AUC on UCF-Crime."
DS-T1-009,ADOC,doshi2022adoc,2020,3,yes,mixed_scene_and_camera_tampering,mixed,yes,NR,18,videos,study-specific,1,5,mixed,frame,VGA,RGB,university campus surveillance,online / study-specific anomaly scoring,online anomaly detection,Campus scene anomalies and camera tampering,2026-08-31,transcribed_from_manuscript,"The most directly multi-tier public corpus in the review (scene anomalies plus camera tampering). Small, study-specific protocol; does not cover fire/smoke."
DS-T1-010,UBnormal,acsintoae2022ubnormal,2022,1,no,behavioral_video_anomaly_detection,synthetic,yes,268,211,videos,yes,29,22,NR,frame + pixel,720x1080,RGB (virtual actors / rendered scenes),synthetic surveillance scenes,frame-level AUC; pixel-level localization,normal-only; open-set / virtual anomaly generation,Synthetically rendered behavioral anomalies with pixel masks,2026-08-31,transcribed_from_manuscript,Pixel-level masks that are impractical to obtain on real video. Synthetic composition must be stated when comparing with real-camera corpora.
