provenance_id,verification_status,page_confirmation,manuscript_table,method,citation_key,year,dataset,metric,value,training_regime,representation,scoring_mechanism,immediate_source,canonical_table,note
P0001,transcribed_from_manuscript,author_verification_required,tab:consolidated_performance,Conv-AE,hasan2016learning,2016,UCSD Ped2,frame-level AUC (%),85.0,Normal-only,ConvAE,Reconstruction,cited study hasan2016learning,yes,Canonical consolidated comparison
P0002,transcribed_from_manuscript,author_verification_required,tab:consolidated_performance,Conv-AE,hasan2016learning,2016,CUHK Avenue,frame-level AUC (%),80.0,Normal-only,ConvAE,Reconstruction,cited study hasan2016learning,yes,Canonical consolidated comparison
P0003,transcribed_from_manuscript,author_verification_required,tab:consolidated_performance,Conv-AE,hasan2016learning,2016,ShanghaiTech,frame-level AUC (%),60.9,Normal-only,ConvAE,Reconstruction,cited study hasan2016learning,yes,Canonical consolidated comparison
P0004,transcribed_from_manuscript,author_verification_required,tab:consolidated_performance,Frame-Pred,liu2018future,2018,UCSD Ped2,frame-level AUC (%),95.4,Normal-only,U-Net + GAN,Prediction,cited study liu2018future,yes,Canonical consolidated comparison
P0005,transcribed_from_manuscript,author_verification_required,tab:consolidated_performance,Frame-Pred,liu2018future,2018,CUHK Avenue,frame-level AUC (%),85.1,Normal-only,U-Net + GAN,Prediction,cited study liu2018future,yes,Canonical consolidated comparison
P0006,transcribed_from_manuscript,author_verification_required,tab:consolidated_performance,Frame-Pred,liu2018future,2018,ShanghaiTech,frame-level AUC (%),72.8,Normal-only,U-Net + GAN,Prediction,cited study liu2018future,yes,Canonical consolidated comparison
P0007,transcribed_from_manuscript,author_verification_required,tab:consolidated_performance,MemAE,gong2019memorizing,2019,UCSD Ped2,frame-level AUC (%),94.1,Normal-only,AE + memory,Reconstruction,cited study gong2019memorizing,yes,Canonical consolidated comparison
P0008,transcribed_from_manuscript,author_verification_required,tab:consolidated_performance,MemAE,gong2019memorizing,2019,CUHK Avenue,frame-level AUC (%),83.3,Normal-only,AE + memory,Reconstruction,cited study gong2019memorizing,yes,Canonical consolidated comparison
P0009,transcribed_from_manuscript,author_verification_required,tab:consolidated_performance,MemAE,gong2019memorizing,2019,ShanghaiTech,frame-level AUC (%),71.2,Normal-only,AE + memory,Reconstruction,cited study gong2019memorizing,yes,Canonical consolidated comparison
P0010,transcribed_from_manuscript,author_verification_required,tab:consolidated_performance,MNAD,park2020learning,2020,UCSD Ped2,frame-level AUC (%),97.0,Normal-only,AE + memory,Recon. + prediction,cited study park2020learning,yes,Canonical consolidated comparison
P0011,transcribed_from_manuscript,author_verification_required,tab:consolidated_performance,MNAD,park2020learning,2020,CUHK Avenue,frame-level AUC (%),88.5,Normal-only,AE + memory,Recon. + prediction,cited study park2020learning,yes,Canonical consolidated comparison
P0012,transcribed_from_manuscript,author_verification_required,tab:consolidated_performance,MNAD,park2020learning,2020,ShanghaiTech,frame-level AUC (%),70.5,Normal-only,AE + memory,Recon. + prediction,cited study park2020learning,yes,Canonical consolidated comparison
P0013,transcribed_from_manuscript,author_verification_required,tab:consolidated_performance,Georgescu et al.,georgescu2021anomaly,2021,UCSD Ped2,frame-level AUC (%),97.8,Self-supervised,Multi-task CNN,Pretext discrepancy,cited study georgescu2021anomaly,yes,Canonical consolidated comparison
P0014,transcribed_from_manuscript,author_verification_required,tab:consolidated_performance,Georgescu et al.,georgescu2021anomaly,2021,CUHK Avenue,frame-level AUC (%),89.3,Self-supervised,Multi-task CNN,Pretext discrepancy,cited study georgescu2021anomaly,yes,Canonical consolidated comparison
P0015,transcribed_from_manuscript,author_verification_required,tab:consolidated_performance,Georgescu et al.,georgescu2021anomaly,2021,ShanghaiTech,frame-level AUC (%),82.7,Self-supervised,Multi-task CNN,Pretext discrepancy,cited study georgescu2021anomaly,yes,Canonical consolidated comparison
P0016,transcribed_from_manuscript,author_verification_required,tab:consolidated_performance,SSMTL++v1,barbalau2023ssmtl,2023,CUHK Avenue,frame-level AUC (%),93.7,Self-supervised,Multi-task + CvT/pretexts,Pretext discrepancy,cited study barbalau2023ssmtl,yes,Canonical consolidated comparison
P0017,transcribed_from_manuscript,author_verification_required,tab:consolidated_performance,SSMTL++v1,barbalau2023ssmtl,2023,ShanghaiTech,frame-level AUC (%),82.9,Self-supervised,Multi-task + CvT/pretexts,Pretext discrepancy,cited study barbalau2023ssmtl,yes,Canonical consolidated comparison
P0018,transcribed_from_manuscript,author_verification_required,tab:consolidated_performance,SSMTL++v2,barbalau2023ssmtl,2023,CUHK Avenue,frame-level AUC (%),91.6,Self-supervised,Alternative multi-task configuration,Pretext discrepancy,cited study barbalau2023ssmtl,yes,Canonical consolidated comparison
P0019,transcribed_from_manuscript,author_verification_required,tab:consolidated_performance,SSMTL++v2,barbalau2023ssmtl,2023,ShanghaiTech,frame-level AUC (%),83.8,Self-supervised,Alternative multi-task configuration,Pretext discrepancy,cited study barbalau2023ssmtl,yes,Canonical consolidated comparison
P0020,transcribed_from_manuscript,author_verification_required,tab:consolidated_performance,STG-NF,hirschorn2023normalizing,2023,ShanghaiTech,frame-level AUC (%),85.9,Normal-only / pose,Pose + normalizing flow,Density,cited study hirschorn2023normalizing,yes,Canonical consolidated comparison
P0021,transcribed_from_manuscript,author_verification_required,tab:consolidated_performance,FPDM,yan2023feature,2023,CUHK Avenue,frame-level AUC (%),90.1,Normal-only,Feature diffusion,Prediction/reconstruction,cited study yan2023feature,yes,Canonical consolidated comparison
P0022,transcribed_from_manuscript,author_verification_required,tab:consolidated_performance,FPDM,yan2023feature,2023,ShanghaiTech,frame-level AUC (%),78.6,Normal-only,Feature diffusion,Prediction/reconstruction,cited study yan2023feature,yes,Canonical consolidated comparison
P0023,transcribed_from_manuscript,author_verification_required,tab:consolidated_performance,HSC,sun2023hierarchical,2023,UCSD Ped2,frame-level AUC (%),98.1,Normal-only semantic contrast,Semantic parsing + AE/memory,Reconstruction + contrastive,cited study sun2023hierarchical,yes,Canonical consolidated comparison
P0024,transcribed_from_manuscript,author_verification_required,tab:consolidated_performance,HSC,sun2023hierarchical,2023,CUHK Avenue,frame-level AUC (%),93.7,Normal-only semantic contrast,Semantic parsing + AE/memory,Reconstruction + contrastive,cited study sun2023hierarchical,yes,Canonical consolidated comparison
P0025,transcribed_from_manuscript,author_verification_required,tab:consolidated_performance,HSC,sun2023hierarchical,2023,ShanghaiTech,frame-level AUC (%),83.4,Normal-only semantic contrast,Semantic parsing + AE/memory,Reconstruction + contrastive,cited study sun2023hierarchical,yes,Canonical consolidated comparison
P0026,transcribed_from_manuscript,author_verification_required,tab:weak_foundation_performance,MIL-Rank,sultani2018real,2018,UCF-Crime,frame-level AUC (%),75.4,Video-level weak supervision,C3D,MIL ranking,cited study sultani2018real,yes,Canonical consolidated comparison
P0027,transcribed_from_manuscript,author_verification_required,tab:weak_foundation_performance,RTFM,tian2021weakly,2021,ShanghaiTech,frame-level AUC (%),97.2,Video-level weak supervision,I3D,Feature magnitude,cited study tian2021weakly,yes,Canonical consolidated comparison
P0028,transcribed_from_manuscript,author_verification_required,tab:weak_foundation_performance,RTFM,tian2021weakly,2021,UCF-Crime,frame-level AUC (%),84.3,Video-level weak supervision,I3D,Feature magnitude,cited study tian2021weakly,yes,Canonical consolidated comparison
P0029,transcribed_from_manuscript,author_verification_required,tab:weak_foundation_performance,RTFM,tian2021weakly,2021,XD-Violence,AP (%),77.8,Video-level weak supervision,I3D,Feature magnitude,cited study tian2021weakly,yes,Canonical consolidated comparison
