Slot,Block,Field,Proposed_Value,Basis,Confidence,Review_Note
1,Identification,IEEE Xplore,3214,Provisional estimate,Low,Must be replaced by actual raw export count before deduplication.
2,Identification,ACM Digital Library,1987,Provisional estimate,Low,Must be replaced by actual raw export count before deduplication.
3,Identification,Scopus,4568,Provisional estimate,Low,Must be replaced by actual raw export count before deduplication.
4,Identification,Web of Science Core Collection,3511,Provisional estimate,Low,Must be replaced by actual raw export count before deduplication.
5,Identification,Google Scholar (supplementary),2142,Provisional estimate,Low,Working discovery/screened-record estimate; verify maximum screened rank and deduplication rule.
6,Identification,Citation tracking + 2026 proceedings,1060,Provisional estimate,Low,Includes backward/forward citation tracking and WACV/CVPR 2026 working estimate.
7,Identification,N1 — Total identified,16482,Derived from proposed slots 1–6,Medium,3214+1987+4568+3511+2142+1060 = 16482.
8,Removed before screening,Duplicate records,2128,Provisional estimate,Low,Verify from DOI/title-author-year deduplication log.
9,Removed before screening,Out-of-range date,166,Provisional estimate,Low,Verify against 2010–30 Jun 2026 rule and allowed seminal context exceptions.
10,Removed before screening,Non-English,113,Provisional estimate,Low,Verify from exclusion ledger.
11,Removed before screening,Ineligible document type,170,Provisional estimate,Low,Verify reviews/abstracts/non-eligible publication types removed pre-screening.
12,Screening,N2 — Records screened on title/abstract,13905,Derived from proposed N1 and removals,Medium,16482-(2128+166+113+170)=13905.
13,Screening,Records excluded at title/abstract,12958,Provisional estimate,Low,Leaves 947 reports sought for full text; consistent with broad-query/high-recall strategy.
14,Screening,N3 — Reports sought for full-text retrieval,947,Derived,Medium,13905-12958=947.
15,Screening,Reports not retrieved,44,Provisional estimate,Low,Verify inaccessible/unobtainable reports.
16,Screening,N4 — Reports assessed for eligibility,903,Derived,Medium,947-44=903.
17,Eligibility exclusions,EC1 — Non-English or inaccessible full text,35,Provisional estimate,Low,Eligibility-stage EC1 only; do not double-count pre-screening language removals.
18,Eligibility exclusions,EC2 — Duplicate / superseded conference version,51,Provisional estimate,Low,Verify journal/conference overlap decisions.
19,Eligibility exclusions,EC3 — No surveillance transfer,93,Provisional estimate,Low,Highest-scrutiny criterion; must verify borderline decisions individually.
20,Eligibility exclusions,EC4 — No quantitative evaluation / inadequate data description,78,Provisional estimate,Low,Verify against Table 3 criterion.
21,Eligibility exclusions,EC5 — Review paper used only for positioning,30,Provisional estimate,Low,Verify full-text exclusion ledger.
22,Included,N5 — Studies included in the review,616,Anchored to existing Figure 3 counts,Medium-High,Existing Figure 3 bars total 389+108+47+72=616. Verify against the actual study ledger.
23,Included,Core studies in extraction table (S3),132,Provisional expert estimate,Low-Medium,Chosen as a plausible core-primary subset of the 176-item bibliography; must be replaced by actual S3 row count.
24,Included,Tier 1 — behavioural/object interaction,441,Provisional reallocation,Low,Existing Tier-1 bar is 389. Added 52 of the 72 multi-category records proportionally for a three-tier-only working allocation.
25,Included,Tier 2 — physical hazard,122,Provisional reallocation,Low,Existing Tier-2 bar is 108. Added 14 of the 72 multi-category records proportionally.
26,Included,Tier 3 — camera/feed integrity,53,Provisional reallocation,Low,Existing Tier-3 bar is 47. Added 6 of the 72 multi-category records proportionally. 441+122+53=616.
